"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_LENGTH","DATA_PRECISION","DATA_SCALE","NULLABLE","PRIMARY"
"TOAD_PLAN_TABLE","STATEMENT_ID","VARCHAR2",30,,,"Y","N"
"TOAD_PLAN_TABLE","TEMP_SPACE","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","TIME","NUMBER",22,,0,"Y","N"
"TOAD_PLAN_TABLE","TIMESTAMP","DATE",7,,,"Y","N"
"TRAILER","BILLING_DATE","DATE",7,,,"Y","N"
"TRAILER","CLOSING_BAL","NUMBER",22,18,2,"Y","N"
"TRAILER","CLOSING_BAL_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","COMP_ACC_NUM","VARCHAR2",5,,,"N","Y"
"TRAILER","COMP_FAC_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","COMP_NAME","VARCHAR2",19,,,"N","N"
"TRAILER","CUR_MON_CASH_ADV_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_CASH_ADV_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","CUR_MON_CREDIT_ADJ_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_CREDIT_ADJ_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","CUR_MON_DEBIT_ADJ_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_DEBIT_ADJ_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","CUR_MON_PURCHASE_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_PURCHASE_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","CUR_MON_TOTAL_CHARGE_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_TOTAL_CHARGE_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","CUR_MON_TOTAL_PAYMENT_AMT","NUMBER",22,18,2,"Y","N"
"TRAILER","CUR_MON_TOTAL_PAYMENT_AMT_CRE","VARCHAR2",30,,,"Y","N"
"TRAILER","DETAIL_REC_CNT","NUMBER",22,6,0,"Y","N"
"TRAILER","DUE_DATE_REF_NO","VARCHAR2",15,,,"N","Y"
"TRAILER","OPENING_BAL","NUMBER",22,18,2,"Y","N"
"TRAILER","OPENING_BAL_CRE","VARCHAR2",30,,,"Y","N"
"TRANSACTIONLOG","ACTION","VARCHAR2",15,,,"Y","N"
"TRANSACTIONLOG","BILLING_AMT","NUMBER",22,18,2,"Y","N"
"TRANSACTIONLOG","CARDHOLDER","VARCHAR2",19,,,"Y","N"
"TRANSACTIONLOG","CARD_ID","VARCHAR2",20,,,"Y","N"
"TRANSACTIONLOG","DISPUTE_AMT","NUMBER",22,18,2,"Y","N"
"TRANSACTIONLOG","DUE_DATE","DATE",7,,,"Y","N"
"TRANSACTIONLOG","LOG_ID","VARCHAR2",15,,,"N","Y"
"TRANSACTIONLOG","NET_AMT","NUMBER",22,18,2,"Y","N"
"TRANSACTIONLOG","NO_OF_DISPUTE","NUMBER",22,5,0,"Y","N"
"TRANSACTIONLOG","POST","VARCHAR2",20,,,"Y","N"
"TRANSACTIONLOG","SECTION","VARCHAR2",30,,,"Y","N"
"TRANSACTIONLOG","STATUS","NUMBER",22,2,0,"Y","N"
"TRANSACTIONLOG","TIME_STAMP","TIMESTAMP(6)",11,,6,"Y","N"
"TRANSACTIONLOG","USER_ID","VARCHAR2",15,,,"Y","N"
"TRANSACTIONLOG","USER_NAME","VARCHAR2",50,,,"Y","N"
"UC_FORMAT","INITIALCODE","VARCHAR2",20,,,"N","Y"
"UC_FORMAT","TNOC","NUMBER",22,2,0,"N","Y"
"USERCODE","UPDUID","VARCHAR2",10,,,"Y","N"
"USERCODE","UPD_DATE","DATE",7,,,"Y","N"
"USERCODE","USER_CODE","VARCHAR2",40,,,"N","Y"
"USEROLEMAP","ROLE_ID","VARCHAR2",20,,,"N","Y"
"USEROLEMAP","USER_ID","VARCHAR2",15,,,"N","Y"
"USERTEAMMAP","TEAM_ID","NUMBER",22,3,0,"N","Y"
"USERTEAMMAP","USER_ID","VARCHAR2",15,,,"N","Y"
"VOUCHER","BATCH_BILLING_REF_NO","VARCHAR2",20,,,"N","N"
"VOUCHER","CRN","VARCHAR2",9,,,"Y","N"
"VOUCHER","DEPT_CODE","VARCHAR2",2,,,"Y","N"
"VOUCHER","DVN","VARCHAR2",15,,,"N","Y"
"VOUCHER","FINANCIAL_YR","VARCHAR2",2,,,"Y","N"
"VOUCHER","NATURE_OF_PAYMENT","VARCHAR2",1,,,"Y","N"
"VOUCHER","PAYMENT_METHOD","VARCHAR2",1,,,"Y","N"
"VOUCHER","PAYMENT_OFFICE","VARCHAR2",3,,,"Y","N"
"VOUCHER","PAYMENT_TYPE","VARCHAR2",1,,,"Y","N"
"VOUCHER","SOURCE","VARCHAR2",1,,,"Y","N"
"VOUCHER","SYSTEM_ID","VARCHAR2",7,,,"Y","N"
"VOUCHER","TIME_STAMP","TIMESTAMP(6)",11,,6,"Y","N"
"VOUCHERDETAIL","AMOUNT","NUMBER",22,18,2,"Y","N"
"VOUCHERDETAIL","DVN","VARCHAR2",15,,,"N","Y"
"VOUCHERDETAIL","USER_CODE","VARCHAR2",40,,,"N","Y"
